recordid1,recordid2,companyname1,companyname2,domainname1,domainname2,editdistance,similarity
15160762976,15160826294,First Bank,First Bank,,fbonline.biz,0,1
15160926543,15161056800,Peoples Bank,Peoples Bank,,peoplesbank-wa.com,0,1
15160880693,23895223299,Old Second National Bank,Old Second National Bank,oldsecond.com,,0,1
15163994956,23895066927,Pinnacle Bank,Pinnacle Bank,pinnbanktx.com,,0,1
15163994956,23895533117,Pinnacle Bank,Pinnacle Bank,pinnbanktx.com,,0,1
15684340517,23895223304,General Electric,General Electric,ge.com,,0,1
15160877592,23895533131,"Texas Capital Bank, National Association","Texas Capital Bank, National Association",texacapitalbank.com,,0,1
15160562017,15160763011,Farmers & Merchants Bank,Farmers & Merchants Bank,bankfmb.com,,0,1
15160562017,15160773740,Farmers & Merchants Bank,Farmers & Merchants Bank,bankfmb.com,,0,1
15160873825,15161056800,Peoples Bank,Peoples Bank,,peoplesbank-wa.com,0,1
15160562017,15160877139,Farmers & Merchants Bank,Farmers & Merchants Bank,bankfmb.com,,0,1
15160562017,15160888969,Farmers & Merchants Bank,Farmers & Merchants Bank,bankfmb.com,,0,1
15160601174,15163369746,First Citizens Bank,First Citizens Bank,,myfcb.bank,0,1
15160601669,22341022836,The Citizens Bank,The Citizens Bank,,citizenshickman.com,0,1
15160609976,15163369746,First Citizens Bank,First Citizens Bank,,myfcb.bank,0,1
15160628918,15160837934,The First National Bank In Sioux Falls,The First National Bank In Sioux Falls,,fnbsf.com,0,1
15160630880,23895066925,Progressive Bank,Progressive Bank,progressivebank.com,,0,1
16174794576,23895066933,Midland States Bank,Midland States Bank,midlandstatesbank.com,,0,1
16174765131,23894913180,Commercial Bank,Commercial Bank,thecommercialfinancial_institutionsc.com,,0,1
15160652168,15163269157,The Huntington National Bank,The Huntington National Bank,,huntington.com,0,1
15160654135,15160654137,Commerce Bank,Commerce Bank,commercebank.com,,0,1
15160654135,15160684604,Commerce Bank,Commerce Bank,commercebank.com,,0,1
15160654135,15160734091,Commerce Bank,Commerce Bank,commercebank.com,,0,1
15160654135,15160734092,Commerce Bank,Commerce Bank,commercebank.com,,0,1
15160654135,15160933966,Commerce Bank,Commerce Bank,commercebank.com,,0,1
15160662080,15160715081,American National Bank & Trust,American National Bank & Trust,amnat.com,,0,1
15160662080,15160754439,American National Bank & Trust,American National Bank & Trust,amnat.com,,0,1
15160663445,23895066942,Marquette Bank,Marquette Bank,emarquettebank.com,,0,1
15160670836,15160804652,Webster Five Cents Savings Bank,Webster Five Cents Savings Bank,,web5.com,0,1
15160673128,16174278202,Commercial Bank,Commercial Bank,,commercialbankky.bank,0,1
15160673128,16174765131,Commercial Bank,Commercial Bank,,thecommercialfinancial_institutionsc.com,0,1
